,FoodID,food_name,cook,taste,time,주재료
20,20,['돼지 뒷다리살'],['찜'],['일상적인 맛'],['2시간'],"['돼지 뒷다리살','100g']"
21,21,['장향닭발'],['찜'],['장맛'],['60분'],"['닭발','12개']"
22,22,['감자닭다리찜'],['태우다'],['일상적인 맛'],['60분'],"['닭다리','2개','감자','2개']"
23,23,['감자닭고기구이'],['태우다'],['일상적인 맛'],['15분'],"['닭다리','2개','감자','2개']"
24,24,['동북로과'],['베이킹'],['다른 맛'],['30분'],"['밀가루','400g','설탕','130g','옥수수유','200g','계란','40g']"
25,25,"['경장육, 어떤 주식과 어울려도 맛있다']",['터지다'],['장맛'],['15분'],"['살코기','300g','두부껍질','2장','오이','1뿌리','파백','뿌리']"
26,26,['섬서판 가정용 짜장면'],['기타 작업'],['짠맛'],['15분'],"['옥수수국수','1봉지','삼겹살','1모','두부말랭이(향건)','2조각','당근','1뿌리','감자','3개','청경채','2포기','오이','1뿌리','대파','1/2뿌리']"
27,27,['돌솥비빔밥'],['비비다'],['다른 맛'],['30분'],"['오이','반근','햄','한 조각','당근','반근','콩나물','적당량','표고버섯','3송이','팽이버"
28,28,['피망 닭 날개'],['달이다'],['피망 마 냄새'],['15분'],"['닭날개 중','500g','피망','4개','레드피망','8개']"
29,29,['마라소쫄면'],['비비다'],['향긋한 맛'],['15분'],"['국수(생)','1줌']"
30,30,['호랑이 요리'],['비비다'],['신맛'],['5분'],"['고수','200g','피망','3개','대파(파흰파)','1토막','쌀매콤','2개']"
31,31,['무감자탕'],['끓이다'],['짠맛'],['15분'],"['홍당무','1/2개','감자','2개','돼지고기','50g']"
32,32,['감자잼'],['뜸들이다'],['장맛'],['30분'],"['감자','3개']"
33,33,['달래날개'],['달이다'],['마늘향'],['15분'],"['닭날개','6개']"
34,34,['동북된장찌개'],['찜'],['일상적인 맛'],['30분'],"['배추','1/2포기','감자','2개','당근','2대']"
35,35,['고추갈비찜'],['찜'],['일상적인 맛'],['30분'],"['갈비','300g','시래기','1포기']"
36,36,['경장육스'],['볶다'],['장맛'],['30분'],"['등심','200g']"
37,37,['진하고 신선한 경장육스'],['볶다'],['짠맛'],['10분'],"['돼지 등심','400g','상추','200g','파','1뿌리','계란청','1개']"
38,38,['새콤한 갈비찜: 시큼하고 느끼한 동북 요리'],['찜'],['짠맛'],['60분'],"['새콤한 반찬','한 알','갈비','한 근']"
39,39,['풍미지삼선'],['볶다'],['향긋한 맛'],['10분'],"['가지','1대','감자','1개','홍고추','2개','대파','50g','두요','30g']"
40,40,['티라노사우루스 | 동북장골(닭의 장뼈를 넣은 것)'],['뜸들이다'],['짠맛'],['60분'],"['신선한 돼지 봉골','1000g','토종닭','200g']"
41,41,['고추당면찜'],['찜'],['일상적인 맛'],['30분'],"['돼지오화','산채','고구마당면','풋고추','홍고추','항고추','파','강','마늘','건고추']"
42,42,['유자맛 감자불고기'],['끓이다'],['짠맛'],['60분'],"['익힌 소고기','200g','감자','2개','당근','1개']"
43,43,['장향콩구이'],['굽다'],['일상적인 맛'],['10분'],"['콩껍질','두 장']"
44,44,['조선 옥수수면 냉면'],['끓이다'],['일상적인 맛'],['30분'],"['옥수수국수','500g']"
45,45,['구식 가마보쌈'],['볶다'],['새콤달콤한 맛'],['15분'],"['등심','300g','전분','적당량','당근','적당량','파','적당량','고수','적당량']"
46,46,['묵은지 돼지고기 당면 찜'],['찜'],['일상적인 맛'],['30분'],"['묵은지','500g','삼겹살','100g','당면','50g']"
47,47,['부추박스'],['달이다'],['일상적인 맛'],['60분'],"['부추','1줌','계란','3개','밀가루','200g']"
48,48,['오향육포'],['볶다'],['짠맛'],['30분'],"['소고기','750g']"
49,49,['자제 마늘 날개'],['굽다'],['마늘향'],['30분'],"['닭 날개','10개','마늘 오일 소프트 캡슐','적당량','마늘','2개','간장','적당량']"
50,50,['저지방 브로콜리 마늘 닭가슴살'],['볶다'],['향긋한 맛'],['10분'],"['새가슴살\t','1조각','브로콜리','1송이','양파','1/4개']"
51,51,['집밥 만두'],['찌다'],['일상적인 맛'],['30분'],"['밀가루','300g']"
52,52,['새콤달콤한 백육'],['찜'],['신맛'],['30분'],"['삼겹살','300g','산채','250g','팬','1단']"
53,53,['동북쌈지'],['비비다'],['장맛'],['15분'],"['상추','200g','쪽파','100g','고수','100g','계란','1개','두반장','1봉지','감자','1개','피망','100g','밥','300g']"
54,54,['삼겹살 꽈리당면 조림'],['찜'],['일상적인 맛'],['60분'],"['고추','2알','삼겹살','600g','당면','1줌']"
55,55,['파향 계란전'],['달이다'],['파향'],['30분'],"['밀가루','100g','계란','3개']"
56,56,['파향 계란 팬케이크'],['달이다'],['일상적인 맛'],['10분'],"['밀가루','200g','계란','2개']"
57,57,['데몰리 스튜'],['찜'],['일상적인 맛'],['30분'],"[잉어, 1000g, 당면, 200g, 두부, 1모, 삼겹살, 100g, 고수, 1포기]"
58,58,['간단하고 맛있는 고등어구이!'],['달이다'],['짠맛'],['15분'],"['고등어 (1cm 길이 20cm)','4마리']"
59,59,['고기 슬라이스'],['활용단어참조'],['새콤달콤한 맛'],['30분'],"['돼지고기','400g']"
60,60,['미나리 소고기 볶음'],['볶다'],['매운맛'],['10분'],"['소고기','250g','미나리','400g']"
61,61,['간장뼈'],['찜'],['장맛'],['2시간'],"['돼지 뼈다귀','1750그램']"
62,62,['아몬드 송어'],['달이다'],['짠맛'],['30분'],"['홍송어','1마리','밀가루','50g','파슬리','1포기']"
63,63,['동북남조림 (건솥판)'],['찜'],['일상적인 맛'],['15분'],"['강낭콩','400g 안팎','콩껍질','2장','감자','1개','삼겹살','100g 안팎']"
64,64,['유류 절약판 지삼선'],['볶다'],['일상적인 맛'],['30분'],"['피망','2개','가지','1개','감자','2개']"
65,65,['동북가마보쌈'],['튀기다'],['단맛'],['15분'],"['돼지고기','150g','전분','100g']"
66,66,['채심 목이버섯 계란탕'],['끓이다'],['짠맛'],['10분'],"['채심','100g','목이버섯','30g','계란','2개']"
67,67,['어향살사'],['볶다'],['새콤달콤한 맛'],['15분'],"['돼지 등심살','200g','당근','100g','피망','100g','목이버섯(수발)','100g']"
68,68,['계란 장조림'],['볶다'],['장맛'],['5분'],"['달걀','3g','콩소스','2스푼','달고나','1스푼']"
69,69,['오이가루볶음'],['볶다'],['일상적인 맛'],['15분'],"['분피','오이']"
70,70,['승미정통지삼선'],['볶다'],['일상적인 맛'],['30분'],"['감자','150g','풋고추','100g','가지','200g']"
71,71,['메기머리 수세미 구이'],['태우다'],['일상적인 맛'],['15분'],"['메기','1개','수세미','2개']"
72,72,['자제 구운 냉면'],['달이다'],['장맛'],['10분'],"['냉면','1장','소시지','1뿌리','계란','1개','팽이버섯','적당량']"
73,73,['고구마 뽑기'],['기타 작업'],['단맛'],['5분'],"['고구마','480g','설탕','130g']"
74,74,['시금치 흰살 키조개탕'],['찜'],['일상적인 맛'],['60분'],"['고추','1알','오화삼겹(익음)','1덩어리','키조개 고기(익음)','적당량','고탕','한솥']"
75,75,['사희완자'],['튀기다'],['짠맛'],['30분'],"['돼지고기','800g']"
76,76,['감자통닭강정'],['볶다'],['짠맛'],['10분'],"['닭','반마리','감자','1개']"
77,77,['계란탕'],['끓이다'],['단맛'],['30분'],"[조개, 200g, 계란, 2개, 물, 900g]"
78,78,['고기 콩꼬치 볶음'],['볶다'],['일상적인 맛'],['15분'],"['콩깍지','500g','돼지고기','200g']"
79,79,['고추찜 팬'],['찜'],['일상적인 맛'],['15분'],"['고추','500g','팬','50g','삼겹살','200g']"
80,80,['명작지삼선'],['볶다'],['장맛'],['10분'],"['감자','하나','피망','하나','가지(자색껍질, 길이),'하나']"
81,81,['소유지 삼선'],['볶다'],['일상적인 맛'],['10분'],"['감자','400g','가지(자색껍질, 길이)','2개','피망','1개']"
82,82,['집밥 무침'],['비비다'],['일상적인 맛'],['5분'],"['배추','200g','당근','150g','오이','150g','계란','2개','팬','50g','돼지 살코기','50g']"
83,83,['천미홍소 팔꿈치'],['찜'],['짠맛'],['90분'],"['돼지 팔꿈치','1개']"
84,84,['심지계란탕 쌀국수'],['끓이다'],['짠맛'],['10분'],"['달걀','2개','채심','100g','쌀가루','200g']"
85,85,['새콤한 갈비탕 천 장'],['끓이다'],['신맛'],['30분'],"['천장','95g','갈비','400g','산채','250g']"
86,86,['고기 시금치'],['태우다'],['일상적인 맛'],['15분'],"['고추','400g','돼지고기','100g']"
87,87,['토마토 계란탕'],['끓이다'],['일상적인 맛'],['10분'],"['토마토','2개','계란','2개']"
88,88,['감자가지찜'],['찜'],['장맛'],['30분'],"['가지','감자']"
89,89,['풋고추감자통닭'],['태우다'],['향긋한 맛'],['60분'],"['닭날개 뿌리','500g','감자','3-5개','청콩','350g','피망','300g']"
90,90,['뚝배기 두부'],['찜'],['일상적인 맛'],['15분'],"['두부','250g','배추','100g','새우','150g']"
91,91,['시금치 계란탕'],['끓이다'],['짠맛'],['5분'],"['시금치','1포기','계란','1개']"
92,92,['황금편육'],['튀기다'],['일상적인 맛'],['15분'],"['살코기','50그램']"
93,93,['동북쌀부뚜막밥'],['끓이다'],['일상적인 맛'],['30분'],"['쌀','320ml']"
94,94,['고기각시볶음'],['볶다'],['일상적인 맛'],['15분'],"['콩깍지','400g','돼지고기','100g']"
95,95,['맛있는 미트 스텝'],['활용단어참조'],['짠맛'],['15분'],"['돼지 등심살','200g']"
96,96,['농가 마구찜'],['찜'],['일상적인 맛'],['15분'],"['호박','반개','당근','1뿌리','감자','3개']"
97,97,['설합은귀찜'],['찜'],['단맛'],['30분'],"['은귀','10g','연꽃','7, 8알','설합','2g','대추','2알','계원','2개','빙당','8g','구기자','10알']"
98,98,['표고버섯 닭볶음탕'],['뜸들이다'],['오향'],['30분'],"['닭고기','500g','표고버섯','500g']"
99,99,['무말랭이 장아찌'],['절이다'],['일상적인 맛'],['30분'],"['무말랭이','200g','고수','적당량','다진 마늘','적당량','소금','적당량','닭고기','적당량','참기름','적당량','고추기름','적당량']"
100,100,['고기 슬라이스 가지 구이'],['튀기다'],['일상적인 맛'],['15분'],"['가지','전분','당근']"
101,101,['고기'],['기타 작업'],['짠맛'],['数天'],"['삼겹살','500g']"
102,102,['동북도수'],['베이킹'],['일상적인 맛'],['15분'],"['저근가루','100g','설탕','50g','옥수수유','50g','계란액','25g']"
103,103,['로즈메리 날개(오븐판 자작 레시피)'],['굽다'],['단맛'],['60분'],"['닭날개','1000그램']"
104,104,['장향닭날개'],['찜'],['콩잎맛'],['30분'],"['날개 중','6개']"
105,105,['콩갈비찜'],['찜'],['일상적인 맛'],['60분'],"['갈비','500g','마른콩꼬투리','100g']"
106,106,['오향소고기야채샐러드'],['비비다'],['흑초 맛'],['15분'],"['자색 감람','3조각','상추','작은 알','성녀과','5개','브로콜리','작은 그릇','오향소고기','취향에 따라']"
107,107,['부추계란탕'],['끓이다'],['일상적인 맛'],['5분'],"['부추','적당량','계란','2개']"
108,108,['미나리 소고기 만두'],['끓이다'],['짠맛'],['10분'],"['고근가루','200g','미나리','적당량','소고기','적당량']"
109,109,['좁쌀갈비찜'],['찌다'],['짠맛'],['90분'],"['돼지갈비','300g','좁쌀','30g','옥수수 조각','30g']"
110,110,['파향 계란 소프트케이크'],['굽다'],['파향'],['5분'],"['달걀','2개','밀가루','100g','물','적당량']"
111,111,['파우더'],['굽다'],['일상적인 맛'],['30분'],"['밀가루','300g','베이킹소다','1.5g','효모','4g','설탕','20g','온수','230g']"
112,112,['전 껍질이 부드러운 회향 계란 호떡'],['달이다'],['일상적인 맛'],['60분'],"['회향','한줌','계란','4개','밀가루','300g','온수','160g']"
113,113,['토마토계란탕'],['끓이다'],['다른 맛'],['10분'],"['토마토','1개','계란','1개']"
114,114,['레몬 마늘 닭발'],['태우다'],['신맛'],['30분'],"['닭발','500g','라임','2개']"
115,115,['동북장대골'],['찜'],['장맛'],['2시간'],"['돼지등뼈','1000그램']"
116,116,['국화잎 계란탕'],['끓이다'],['일상적인 맛'],['15분'],"['쑥','300g','계란','2개']"
117,117,['기름 없는 토마토 계란탕'],['끓이다'],['새콤달콤한 맛'],['10분'],"['토마토','2개','계란','1개']"
118,118,['자연장 뼈대'],['된장'],['다른 맛'],['2시간'],"['돼지등뼈','500강']"
119,119,['수세미 계란탕'],['끓이다'],['일상적인 맛'],['10분'],"['수세미','1대','계란','1개']"
120,120,['키조개 볶음'],['볶다'],['콩잎맛'],['5분'],"['꽃키조개','2근','원파','1알','고수','반근','두반장','2숟가락']"
121,121,['탕수고추'],['된장'],['신맛'],['10분'],"['고추','500g']"
122,122,['갈비 홍소 원숭이 버섯'],['태우다'],['짠맛'],['30분'],"['갈비','500g','원숭이 버섯','200g']"
123,123,['배추계란탕면'],['끓이다'],['일상적인 맛'],['10분'],"['배추','30g','계란','1개','국수','200g']"
124,124,['동북해골육'],['할로겐'],['짠맛'],['60분'],"['돼지 뼈','약 500g']"
125,125,['옥수수면 시래기떡'],['찌다'],['일상적인 맛'],['30분'],"['옥수수면','300g','돼지 삼겹살','500g','백면','마음대로','시래기','하나']"
126,126,[기장 종자(대황미)],['끓이다'],['단맛'],['数시간'],"['기수','1000g','대추','500g','콩소','250g','꿀콩','500g']"
127,127,['레드갓계란탕'],['끓이다'],['오향'],['5분'],"['붉은 갓','한 줌','계란','두 개','쪽파','한 알']"
128,128,['장향 닭발 닭목'],['기타 작업'],['장맛'],['90분'],"['닭발','4개','닭목','4개','닭똥집','4개']"
129,129,['흑설탕 대추 계원 계란탕'],['끓이다'],['단맛'],['30분'],"['계원','25알','대추','8알','계란','4개','연꽃','1줌']"
130,130,['정종의 동북 돼지잡이 요리(흑룡강 맛)'],['찜'],['일상적인 맛'],['2시간'],"['고추','2근','돼지등뼈','3근','삼겹살','1근']"
131,131,['동북 데친 시래기'],['데치다'],['일상적인 맛'],['15분'],"['고추','300g','돼지고기','200g']"
132,132,['돼지배추당면찜'],['찜'],['짠맛'],['15분'],"['돼지고기(살찐)','30g','배추','200g','두부','80g','동북당면','5g']"
133,133,['땅삼선(기름 적은 건강)'],['볶다'],['일상적인 맛'],['15분'],"['가지(자색껍질, 둥근)','2대','감자','1개(크게)','피망','6개']"
134,134,['사방 홍소고기'],['태우다'],['단맛'],['60분'],"['삼겹살','1줄']"
135,135,['뚝배기 홍소 팔꿈치 덩어리'],['태우다'],['일상적인 맛'],['60분'],"['돼지 팔꿈치','1개']"
136,136,['햄만두계란탕'],['끓이다'],['일상적인 맛'],['15분'],"['달걀','둘','소시지','적당량','만두','적당량']"
137,137,['배추두부찜'],['찜'],['짠맛'],['15분'],"['배추','150g','두부','반모']"
138,138,['빙당 홍소 팔꿈치'],['태우다'],['향긋한 맛'],['数시간'],"['돼지고기(뒷팔꿈치)','2개']"
139,139,['새우튀김'],['튀기다'],['짠맛'],['10분'],"['새우','적당량']"
140,140,['감자닭다리찜'],['볶다'],['일상적인 맛'],['15분'],"['닭다리','3마리','감자','300g','양파','200g','피망','2대']"
141,141,['갈비연근탕'],['끓이다'],['일상적인 맛'],['60분'],"['갈비','500g','연근','1절','당근','2뿌리']"
142,142,['오진가루냄비 고기 어떻게 하면 제일 맛있고 건강해? 이거 많이 넣어'],['튀기다'],['새콤달콤한 맛'],['15분'],"['돼지 등심','적당량','전분','적당량','계란','1개','오진가루','1팩']"
143,143,['고기찜'],['찜'],['신맛'],['30분'],"['동북시래기','2그루','돼지고기','3냥','파','1그루','강','2조각']"
144,144,['모과조개찜'],['찜'],['단맛'],['2시간'],"['모과','1개','조개','1개']"
145,145,['기름북 배추구이'],['태우다'],['일상적인 맛'],['15분'],"['돼지고기(뚱뚱)','50g','배추','100g']"
146,146,['닭감자찜'],['찜'],['짠맛'],['30분'],"['닭고기','닭다리 5개','감자','2-3개']"
147,147,['동북젓갈전갈솥'],['끓이다'],['콩잎맛'],['60분'],"['전갈','3근']"
148,148,['레몬 날개'],['절이다'],['짠맛'],['10분'],"['날개 중','7개']"
149,149,['풀고구마'],['튀기다'],['단맛'],['10분'],"['고구마','적당량']"
150,150,['냄비에 고기 싸기'],['볶다'],['새콤달콤한 맛'],['10분'],"['냉동 냄비에 고기 덩어리 싸기','1봉지']"
151,151,['버섯계란탕'],['끓이다'],['짠맛'],['10분'],"['버섯','100그램']"
152,152,['감자콩깍지찜'],['찜'],['짠맛'],['30분'],"['감자','2개','돼지고기','200g','콩뿔','500g']"
153,153,['구기자잎계란탕'],['끓이다'],['일상적인 맛'],['5분'],"['구기자잎','250g','계란','60g','살코기','50g']"
154,154,['간이 토마토 계란탕'],['끓이다'],['일상적인 맛'],['10분'],"['토마토','1','계란','1']"
155,155,['솔버섯 날개찜'],['찜'],['짠맛'],['2시간'],"['닭날개','2근','버섯','250g','팬','150g']"
156,156,['동북감자가지찜'],['활용단어참조'],['일상적인 맛'],['30분'],"['가지','200g','감자','100g']"
157,157,['아욱 계란탕'],['태우다'],['일상적인 맛'],['15분'],"['아욱이','200g','계란','2개']"
158,158,['계란탕면'],['끓이다'],['짠맛'],['15분'],"['염기면','100g','계란','2개','핫도그','3개','상해청','2개']"
159,159,['감자고추장'],['볶다'],['일상적인 맛'],['15분'],"['감자','500g','고추','100g','동북농가된장','300g']"
160,160,['감자가지구이'],['태우다'],['향긋한 맛'],['15분'],"['감자','1개','가지','2개','마늘','1개','대파','한 토막']"
161,161,['설장판 건두부꼬치'],['찌다'],['향긋한 맛'],['15분'],"['건두부','2장','고기소','100g']"
162,162,['황화채 계란탕'],['볶다'],['짠맛'],['5분'],"['황화채','100g','계란','3개']"
163,163,['레몬 닭발'],['절이다'],['신맛'],['30분'],"['홍초','1개','마늘','6쪽','생강','3쪽','레몬','3쪽']"
164,164,['자제 초밥'],['끓이다'],['일상적인 맛'],['30분'],"['쌀','적당량','육송','적당량','김','(초밥용) 1장']"
165,165,['겨울철 대파 저장 방법'],['기타 작업'],['일상적인 맛'],['5분'],"['대파','8000그램']"
166,166,['오렌지향 닭고기 완자'],['튀기다'],['짠맛'],['60분'],"['닭가슴살','200g']"
167,167,['왕죽'],['끓이다'],['일상적인 맛'],['60분'],"['옥수수 조각','200g','강낭콩','100g','밥콩','50g']"
168,168,['삼겹살 꽈배기'],['煨'],['일상적인 맛'],['15분'],"['삼겹살','200g','시래기','300g']"
169,169,['청채계란탕'],['끓이다'],['짠맛'],['15분'],"['달걀','3개','야채','500g']"
170,170,['동북오이메추리볶음'],['볶다'],['짠맛'],['10분'],"['메추리','3마리','오이','2뿌리']"
171,171,['닭볶음버섯 샤브샤브'],['뜸들이다'],['일상적인 맛'],['60분'],"['삼황계','1마리']"
172,172,['갈비콩갈비찜'],['찜'],['짠맛'],['30분'],"['갈비','1500g','콩뿔','1000g','감자','1개','산약','1개']"
173,173,['동북시래기갈비찜'],['찜'],['짠맛'],['30분'],"['갈비','500g','산채','1000g']"
174,174,['쑥갓 계란탕'],['태우다'],['짠맛'],['15분'],"['쑥갓','250g','계란','2알']"
175,175,['오렌지 계란찜'],['찌다'],['단맛'],['15분'],"['오렌지 주스','100ml','계란','60g']"
176,176,['동북 양조장'],['기타 작업'],['향긋한 맛'],['15분'],"['동부','500g','피망','500g','감자','200g','땅콩','100g']"
177,177,['광식전복찜'],['찌다'],['파향'],['5분'],"['미지극신','적당량']"
178,178,['뒤집계란탕'],['끓이다'],['짠맛'],['10분'],"['달걀','1개','토마토','반개','오이','반개']"
179,179,['게으름뱅이 한솥 내기'],['찜'],['짠맛'],['60분'],"['돼지등뼈','500g','감자','2개','콩뿔','1줌','단옥수수','1개']"
180,180,['팔꿈치 홍소'],['찜'],['일상적인 맛'],['数시간'],"['돼지발굽','1000그램']"
181,181,['가마솥 거위 달래기'],['찜'],['일상적인 맛'],['90분'],"['거위','1마리','감자','2개']"
182,182,['냄비 인두'],['굽다'],['일상적인 맛'],['30분'],"['밀가루','500g','돼지고기','400g','양파','2개']"
183,183,['가지볶음 초밥'],['뜸들이다'],['짠맛'],['10분'],"['가지','3개','피망','1개']"
184,184,['잡소육정 계란탕'],['끓이다'],['짠맛'],['15분'],"['영과','반근','당근','반근','상해청','10알','노란 피망','반개','사자머리','하나','계란두부','하나','계란','하나','쌀국수','한줌']"
185,185,['동북 고추장'],['볶다'],['장맛'],['15분'],"['청고추','3개','계란','1개']"
186,186,['파폭하얼빈 곱창'],['볶다'],['파향'],['5분'],"['대파','1대','곱창','1대']"
187,187,['워터 스크램블'],['볶다'],['짠맛'],['5분'],"['달걀','4개']"
188,188,['고기볶음 피망 건두부'],['볶다'],['일상적인 맛'],['15분'],"['살코기','300g','건두부','두 장','피망','두 개','파','적당량','강','두 조각','마늘','두 쪽','당근','약간','식용유','적당량','노획','약간']"
189,189,['깨마늘닭강정'],['볶다'],['짠맛'],['15분'],"['닭가슴살','250g']"
190,190,['동북풍작찜'],['찜'],['짠맛'],['30분'],"['갈비','500g','감자','1개','옥수수','1뿌리','콩뿔','200g','호박','200g']"
191,191,['집밥 볶음 - 기름기 적은 삼선'],['볶다'],['짠맛'],['10분'],"['가지','1대','감자','1개','피망','1개']"
192,192,['김계란탕'],['끓이다'],['짠맛'],['10분'],"['김','한 조각','계란','하나','새우껍질','한 줌']"
193,193,['오향육개장'],['볶다'],['오향'],['60분'],"['소고기','600g']"
194,194,['미나리 땅콩무침'],['비비다'],['짠맛'],['30분'],"['땅콩알','100g','당근','50g','미나리','200g']"
195,195,['동북산채 백육 데치기'],['끓이다'],['일상적인 맛'],['15분'],"['동북시래기','500g','삼겹살','1조각']"
196,196,['새콤한 두부 고기 볶음'],['볶다'],['신맛'],['30분'],"['고추','400g','두부말랭이','100g']"
197,197,['집밥 냉채'],['비비다'],['일상적인 맛'],['5분'],"['오이','2뿌리','당근','반뿌리','자감람','2조각','목이버섯(수발)','100g','분피','50g','돼지고기','50g']"
198,198,['꿀 마늘 닭'],['볶다'],['마늘향'],['30분'],"['닭다리','2개','검은 후춧가루 또는 흰 후춧가루','적당량']"
199,199,['전병과일'],['달이다'],['짠맛'],['10분'],"['밀가루','60g','계란','2개']"
200,200,['질긴 닭 날개 끝'],['끓이다'],['짠맛'],['15분'],"['닭날개 끝','350그램']"
201,201,['봉골나물찜'],['찜'],['일상적인 맛'],['数시간'],"['봉골','500g','시래기','1봉지']"
202,202,['뚝배기 두부찜'],['찜'],['향긋한 맛'],['15분'],"['두부','250g','표고버섯','30g','버섯','30g']"
203,203,['찬란한 두부무침'],['비비다'],['향긋한 맛'],['5분'],"['물두부','1모']"
204,204,['레드오븐 오렌지 닭다리'],['태우다'],['일상적인 맛'],['30분'],"['비파다리','6마리','오렌지','1개']"
205,205,['뚝배기 두부 식혜'],['찜'],['향긋한 맛'],['30분'],"['북두부','360g','돼지고기소','100g','건표고버섯','4개','계란','1개']"
206,206,['배춧가루 소고기찜'],['찜'],['일상적인 맛'],['15분'],"['익힌 소고기','100g','배추','200g']"
207,207,['한국 탕수육'],['튀기다'],['새콤달콤한 맛'],['30분'],"['닭포육','238g','한국식 탕수육 고추장','90g','한국식 쿠키 튀김','적당량']"
208,208,['흰살 배추'],['찜'],['일상적인 맛'],['10분'],"['배추','500g','돼지고기(비)','200g']"
209,209,['날개구이'],['굽다'],['다른 맛'],['30분'],"['닭날개 중','500g','대파','30g','강','5g','마늘','10g']"
210,210,['맥향 날개 뿌리'],['굽다'],['짠맛'],['30분'],"['닭날개 뿌리','250g','오트밀','50g']"
211,211,['구운 냉면'],['달이다'],['장맛'],['10분'],"['달걀 부재료','2개','상추','2장','소시지','1뿌리','구운 냉면','2장']"
212,212,['상하이 찹쌀떡'],['튀기다'],['다른 맛'],['30분'],"['쌀','500g']"
213,213,['달래닭다리'],['태우다'],['마늘향'],['30분'],"['닭다리','500g']"
214,214,['취향닭다리'],['물에 담그다'],['다른 맛'],['10분'],"['닭다리','3개(비파다리)','소금','6그램','생강가루','4그램','백후춧가루','1그램']"
215,215,['감자 날개찜'],['찜'],['일상적인 맛'],['15분'],"['닭날개','35그램','양파','1개','감자','1개']"
216,216,['[주기] 후라이드 토마토 계란탕'],['끓이다'],['일상적인 맛'],['5분'],"['토마토','1개','계란','1마리']"
217,217,['생굴 살코기 죽'],['끓이다'],['짠맛'],['30분'],"['생굴','100g','돼지고기(마른)','50g','쌀','100g']"
218,218,['파향햄볶음밥'],['볶다'],['일상적인 맛'],['10분'],"['격야밥','250g','햄','70g','김대근','30g','피망','40g','오이','30g','당근','25g']"
219,219,['어향닭볶음탕'],['태우다'],['생선 냄새'],['10분'],"['새가슴살','350g','검은목이버섯','6g']"
220,220,['새우튀김'],['튀기다'],['짠맛'],['10분'],"['흰새우','400g']"
221,221,['봉골산약 옥수수탕'],['끓이다'],['일상적인 맛'],['90분'],"['봉골','반개','옥수수','1뿌리','쇠몽둥이 산약','1뿌리']"
222,222,"['[꾸벅꾸벅] PK 팽이버섯구이, 완승~']",['볶다'],['일상적인 맛'],['10분'],"['새송이버섯','4개','쪽파','30g','고수','1포기','마늘','4쪽']"
223,223,['새콤한 다진 고기찜 당면'],['끓이다'],['신맛'],['15분'],"['당면(건조)','300g','돼지고기','200g','산채','60g','피망','1개','피망','1개']"
